ia_circular	ia-premium-financing-circular-20260820	保监局发通函：保费融资上半年占新造业务保费约36% 要求险企检讨产品与风控
aia	aia-h1-2026-results-20260820	友邦中期业绩：新业务价值32.12亿美元增10% 香港利润率升至72% 中期息增10%
theedge	aia-h1-results-market-reaction-20260820	彭博/花旗点评友邦中报：内地访客需求旺盛 股价跌约1.8% 花旗维持买入 [EN原文]
hkma_press	hkma-fake-doc-scam-alert-20260820	金管局提醒：提防伪冒金管局文件 假借「数码港元」诱骗投资
chinalife	chinalife-h1-2026-briefing-20260819	中国人寿：8月27日公布2026年中期业绩 28日举行网络业绩简报会
hkex	hkex-h1-2026-results-20260819	港交所中期业绩：上半年溢利105.7亿港元(+24%) 沪深港通收入28.5亿港元创新高
insurancebusinessmag	ibmag-gallagherre-digital-risk-20260819	Gallagher Re成立数字风险部门：AI重塑风险累积 将AI责任险、数据中心与网络险纳入统一框架
aastocks	aastocks-ubs-fwd-coverage-20260819	瑞银首次覆盖富卫集团：给予「中性」评级 目标价32港元
prudential	prudential-taikoo-hq-20260819	保诚与太古地产签署租赁协议 扩充太古坊香港总部至约8.3万方呎
insuranceasia	ia-cyber-factory-gaps-20260819	InsuranceAsia：亚太互联工厂网络风险上升 网络险与财产险承保缺口暴露
insurtechinsights	bowtie-stillcover-20260818	Bowtie推出StillCover补充医疗险：面向慢性病患者及公院使用者
manulife	manulife-new-fluidity-20260818	宏利×FT Longitude研究：长寿趋势重塑港人财富规划 仅18%富裕人士拥有整合财富计划
chinanews	chinanews-hkgov-insurance-funds-20260818	香港特区政府欢迎内地保险资金参与互联互通 李家超：巩固香港国际金融中心地位
stcn	stcn-sfc-hkex-etf-20260818	证监会、港交所齐发声欢迎内地险资投资港股ETF 称将提升市场流动性
scmp	scmp-beijing-insurers-hk-etfs-20260818	SCMP：北京鼓励内地保险公司投资香港上市ETF 深化两地市场联通[EN原文]
insurancebusinessmag	ibmag-aon-working-capital-apac-20260819	Aon：亚太企业平均79天回款 香港76天按年恶化3天 建筑行业143天最长
insurancebusinessmag	ibmag-qbe-data-centre-20260819	QBE设立全球数据中心保险主管 标普预计数据中心险2026年新增保费约100亿美元
insurancebusinessmag	ib-china-life-slower-growth-20260818	惠誉：内地寿险增速放缓 银保新费用规则挤压短期销售 利润率回升
insuranceasia	ia-reinsurers-record-663b-20260818	AM Best：全球再保专属资本6630亿美元创纪录 资金利用率降至77%
insuranceasia	ia-insurtech-asia-600m-q2-20260818	CB Insights：亚洲保险科技Q2融资6亿美元仅8笔 两笔巨额轮贡献5亿
caixin	caixin-hk-banks-sfof-decl-20260818	香港银行启动存量内地客户资金来源声明 汇丰要求9月12日前提交
aia	aia-h1-2026-results-date-20260818	友邦保险8月20日公布2026年中期业绩 上午9时网络直播分析员简报会
nfra	nfra-xiao-hui-hk-20260818	金融监管总局副局长肖远企会见香港财库局局长许正宇：支持内地保险资金参与互联互通
insurancebusinessmag	ibmag-aon-sidecarx-20260817	Aon推出Sidecar X平台：为R&W及税务保险提供2亿美元专属承保容量
toutiao	toutiao-h1-insurers-profit-20260817	上半年银保盈利回暖：非上市险企净利707亿增81.75% 国寿中期预增215%-235%创千亿中报
toutiao	toutiao-dadi-fine-20260818	大地财险文山两家支公司被罚56万元：未按规定使用费率+编制虚假财务资料
boclife	boclife-hygge-eldercare-alliance-20260817	中银人寿与Hygge Living策略联盟：共建中产家庭跨境养老服务生态
sina	nfra-solvency-q2-5-insurers-20260817	二季度5家险企偿付能力不达标：长生人寿综合充足率68.4%评级D类 华汇人寿连续C类
cecn	ce-insurance-funds-40trillion-20260817	险资运用余额首破40万亿：二季度末40.82万亿元 权益配置占比15.66%创历史新高
chubb	chubb-care-crit-illness-series-20260817	安达人寿香港推Chubb Care危疾系列：覆盖146种疾病 中港保费同价
fwd	fwd-ebeyond-medical-20260817	富卫调查：71%港人依赖雇主团体医疗但仅29%认为足够 推EBeyond补充方案
insuranceasianews	steadfast-takeover-final-stages-20260817	Amwins、Dragoneer与KKR对澳洲保险经纪Steadfast的77亿澳元收购进入最后阶段
toutiao	toutiao-fwd-juntian-broker-20260815	富卫经「富卫财务策划」入股内地全国性保险经纪隽天20% 李泽楷布局内地渠道
letschuhai	hkfi-wong-insurtech-interview-20260815	香港保险业联会主席黄子逊专访：香港是保险科技开疆拓土理想地 南沙前海拟设售后服务中心
toutiao	toutiao-baobian-tax-20260815	深度：港险补税20%风声紧但「子弹还在飞」 各地执行标准尚未统一
scmp	scmp-ia-mainland-client-definition-20260815	保监局拟重新界定「内地访客」身份定义 下季咨询 非内地户籍人士或可免亲身来港投保
stheadline	stheadline-hashkey-yflife-hkdap-20260814	HashKey与万通保险完成港元稳定币HKDAP首笔真实交易 保费结算或由2-3日缩至近实时
nfra	nfra-q2-insurance-indicators-20260814	金融监管总局：二季度末保险业总资产43.9万亿元 较年初增6.2% 综合偿付能力充足率180.6%
insuranceasianews	insuranceasianews-howden-financial-lines-20260814	Howden委任Sonija Cheng为香港金融险团队总监 此前任职Willis逾七年
govhk	govhk-ia-ceo-reappointment-20260814	香港政府再度委任张云正为保监局行政总监 任期延至2029年8月
insurancebusiness	insurancebusiness-qbe-h1-20260814	QBE中期调整后净利润10.3亿美元 股本回报17.7%超中期目标
insuranceasia	insuranceasia-ambest-reinsurers-capital-20260814	AM Best：全球再保险业连续第三年跑赢资本成本 2025年中位股本回报16.3%
insuranceasia	insuranceasia-deal-insurance-rw-20260814	并购保障需求升温：58%受访者预期2026年陈述与保证保险使用增加
insuranceasia	insuranceasia-philippine-cat-pool-20260814	双灾考验菲律宾巨灾保险池：PCIF首次实战 51家非寿险仅10家入池
xchange	xchange-first-cycle-loi-20260813	XChange TEC拟收购香港AI公司First Cycle 打造智能体AI保险生态平台
ce	ce-inscap-stakes-20260813	险资举牌画风突变：年内仅6次 转向硬科技IPO战略配售与同业互持
scmp	scmp-offshore-tax-opinion-20260813	南华早报评论：港险征税风波考验香港财富管理 税务总局称20%税率非新政非针对香港
aastocks	aastocks-sp-tax-sales-20260813	标普：内地征税或拖慢港银港险面向内地客户销售 寿险两年仍可增长8%-10%
toutiao	nandu-offshore-trust-case-20260813	离岸信托「避税通道」被封堵：宗馥莉家族陷补税争议 涉18亿美元汇丰账户资产
